id,name,host_id,host_name,latitude,longitude,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,logprice,neighbourhood_group_Brooklyn,neighbourhood_group_Queens,neighbourhood_group_Staten Island,neighbourhood_group_Bronx,room_type_Private room,room_type_Shared room
836578,Airy+Sunny 1bdrm- Steps to HighLine,1268505,Jh,40.74372,-74.00021,240,7,26,5/13/19,0.36,1,358,5.480638923,0,0,0,0,0,0
837134,Hip Renovated Apartment in Greenwich Village,1972051,Augusto,40.73289,-73.99584,195,7,4,1/3/19,0.06,1,232,5.272999559,0,0,0,0,0,0
837282,Spacious Loft in heart of Tribeca,4375496,Jared,40.71969,-74.00876,235,3,5,10/4/15,0.08,1,206,5.459585514,0,0,0,0,0,0
837503,❤️Feel@HOME Brooklyn Clinton Hill ❤️,265525,Casey,40.69165,-73.95456,96,5,228,7/18/19,2.84,1,72,4.564348191,1,0,0,0,0,0
837958,Very cozy room with a tv.!,4378763,Antonio,40.7529,-73.92985,63,2,26,7/13/14,0.32,3,278,4.143134726,0,1,0,0,1,0
838070,Brooklyn Apt: 1 Bedroom w/Garden,240048,Katherine / François,40.66059,-73.99361,150,10,8,6/23/18,0.17,2,181,5.010635294,1,0,0,0,0,0
839539,"Awesome, Unique EAST VILLAGE LOFT!!",3200135,Matt,40.72876,-73.98413,80,7,0,,0,1,7,4.382026635,0,0,0,0,1,0
841292,BIG room in fun loft – heart of NYC,4393626,Aaron,40.74712,-73.99514,109,3,26,5/27/19,0.36,2,24,4.691347882,0,0,0,0,1,0
841484,cozy charming apt - Lower East Side,2682735,Andrew,40.71892,-73.98627,175,5,53,7/26/19,0.66,1,2,5.164785974,0,0,0,0,0,0
842167,1 BDR in Heart of Lower East side,2257960,Melanie,40.71593,-73.99031,150,4,14,5/28/19,0.3,1,12,5.010635294,0,0,0,0,0,0
842176,Cozy Room in Williamsburg Loft Apt,3330412,Pierre  & Amira,40.71541,-73.94464,80,4,80,10/18/17,1.06,1,274,4.382026635,1,0,0,0,1,0
